title,url,release_date,critic_score,audience_score,release_year,omdb_Response,omdb_Error,imdbID,Rated,RuntimeMin,Genre,Plot,Poster,OMDb_raw
The Celluloid Closet,https://www.rottentomatoes.com/m/celluloid_closet,"Released Jan 30, 1996",97.0,89.0,1996.0,False,Movie not found!,,,,,,,"{'Response': 'False', 'Error': 'Movie not found!'}"
Fargo,https://www.rottentomatoes.com/m/fargo,"Released Mar 15, 1996",95.0,92.0,1996.0,True,,tt0116282,R,98,"Crime, Drama, Thriller",Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,https://m.media-amazon.com/images/M/MV5BNjg4MWE0MjEtODFhNy00MjA5LTg5ODktMzgwNWFmZTAwNjBlXkEyXkFqcGc@._V1_SX300.jpg,"{'Title': 'Fargo', 'Year': '1996', 'Rated': 'R', 'Released': '05 Apr 1996', 'Runtime': '98 min', 'Genre': 'Crime, Drama, Thriller', 'Director': 'Joel Coen, Ethan Coen', 'Writer': 'Ethan Coen, Joel Coen', 'Actors': 'William H. Macy, Frances McDormand, Steve Buscemi', 'Plot': ""Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson."", 'Language': 'English', 'Country': 'United Kingdom, United States', 'Awards': 'Won 2 Oscars. 84 wins & 58 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BNjg4MWE0MjEtODFhNy00MjA5LTg5ODktMzgwNWFmZTAwNjBlXkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '88/100'}], 'Metascore': '88', 'imdbRating': '8.1', 'imdbVotes': '763,353', 'imdbID': 'tt0116282', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$24,611,975', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
Princess Mononoke,https://www.rottentomatoes.com/m/princess_mononoke,"Released Jul 12, 1997",93.0,94.0,1997.0,True,,tt0119698,PG-13,133,"Animation, Adventure, Fantasy","While seeking to cure himself of a curse, young warrior Ashitaka stumbles into a conflict between the people of Iron Town and Princess Mononoke, a girl raised by wolves, who will stop at nothing to prevent the destruction of her h...",https://m.media-amazon.com/images/M/MV5BNjAzODViNGEtMjBkYi00N2U5LWJjNjAtY2U0MGJhZTEwOTU0XkEyXkFqcGc@._V1_SX300.jpg,"{'Title': 'Princess Mononoke', 'Year': '1997', 'Rated': 'PG-13', 'Released': '12 Jul 1997', 'Runtime': '133 min', 'Genre': 'Animation, Adventure, Fantasy', 'Director': 'Hayao Miyazaki', 'Writer': 'Hayao Miyazaki', 'Actors': 'Yôji Matsuda, Yuriko Ishida, Yûko Tanaka', 'Plot': 'While seeking to cure himself of a curse, young warrior Ashitaka stumbles into a conflict between the people of Iron Town and Princess Mononoke, a girl raised by wolves, who will stop at nothing to prevent the destruction of her h...', 'Language': 'Japanese', 'Country': 'Japan', 'Awards': '14 wins & 6 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BNjAzODViNGEtMjBkYi00N2U5LWJjNjAtY2U0MGJhZTEwOTU0XkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '78/100'}], 'Metascore': '78', 'imdbRating': '8.3', 'imdbVotes': '467,820', 'imdbID': 'tt0119698', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$11,696,687', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
Boogie Nights,https://www.rottentomatoes.com/m/boogie_nights,"Released Oct 10, 1997",94.0,89.0,1997.0,True,,tt0118749,R,155,Drama,An idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent.,https://m.media-amazon.com/images/M/MV5BOTFmZmE4OTMtNDYxNi00MmZmLThlYjktMmExMzMwY2YzOTFiXkEyXkFqcGc@._V1_SX300.jpg,"{'Title': 'Boogie Nights', 'Year': '1997', 'Rated': 'R', 'Released': '31 Oct 1997', 'Runtime': '155 min', 'Genre': 'Drama', 'Director': 'Paul Thomas Anderson', 'Writer': 'Paul Thomas Anderson', 'Actors': 'Mark Wahlberg, Julianne Moore, Burt Reynolds', 'Plot': 'An idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent.', 'Language': 'English', 'Country': 'United States', 'Awards': 'Nominated for 3 Oscars. 36 wins & 64 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BOTFmZmE4OTMtNDYxNi00MmZmLThlYjktMmExMzMwY2YzOTFiXkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '86/100'}], 'Metascore': '86', 'imdbRating': '7.9', 'imdbVotes': '294,236', 'imdbID': 'tt0118749', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$26,416,349', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
When We Were Kings,https://www.rottentomatoes.com/m/when_we_were_kings,"Released Feb 14, 1997",98.0,94.0,1997.0,False,Movie not found!,,,,,,,"{'Response': 'False', 'Error': 'Movie not found!'}"
L.A. Confidential,https://www.rottentomatoes.com/m/la_confidential,"Released Sep 19, 1997",99.0,94.0,1997.0,True,,tt0119488,R,138,"Crime, Drama, Mystery","As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",https://m.media-amazon.com/images/M/MV5BODdiMjY1OGYtNDk0NC00NGQ1LWI4MDItOTJhMTM0YjE1YTAzXkEyXkFqcGc@._V1_SX300.jpg,"{'Title': 'L.A. Confidential', 'Year': '1997', 'Rated': 'R', 'Released': '19 Sep 1997', 'Runtime': '138 min', 'Genre': 'Crime, Drama, Mystery', 'Director': 'Curtis Hanson', 'Writer': 'James Ellroy, Brian Helgeland, Curtis Hanson', 'Actors': 'Kevin Spacey, Russell Crowe, Guy Pearce', 'Plot': 'As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.', 'Language': 'English', 'Country': 'United States', 'Awards': 'Won 2 Oscars. 91 wins & 86 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BODdiMjY1OGYtNDk0NC00NGQ1LWI4MDItOTJhMTM0YjE1YTAzXkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '99%'}, {'Source': 'Metacritic', 'Value': '91/100'}], 'Metascore': '91', 'imdbRating': '8.2', 'imdbVotes': '646,008', 'imdbID': 'tt0119488', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$64,616,940', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
Donnie Brasco,https://www.rottentomatoes.com/m/donnie_brasco,"Released Feb 28, 1997",88.0,89.0,1997.0,True,,tt0119008,R,127,"Biography, Crime, Drama",An FBI undercover agent infiltrates the mob and finds himself identifying more with the Mafia life--at the expense of his regular one.,https://m.media-amazon.com/images/M/MV5BZWZkNDA2YTctZWJhZS00OTAzLThlODMtY2QyMzg1MTEwYjU2XkEyXkFqcGc@._V1_SX300.jpg,"{'Title': 'Donnie Brasco', 'Year': '1997', 'Rated': 'R', 'Released': '28 Feb 1997', 'Runtime': '127 min', 'Genre': 'Biography, Crime, Drama', 'Director': 'Mike Newell', 'Writer': 'Joseph D. Pistone, Richard Woodley, Paul Attanasio', 'Actors': 'Al Pacino, Johnny Depp, Michael Madsen', 'Plot': 'An FBI undercover agent infiltrates the mob and finds himself identifying more with the Mafia life--at the expense of his regular one.', 'Language': 'English, Italian, Japanese', 'Country': 'United States', 'Awards': 'Nominated for 1 Oscar. 2 wins & 16 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BZWZkNDA2YTctZWJhZS00OTAzLThlODMtY2QyMzg1MTEwYjU2XkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '77/100'}], 'Metascore': '77', 'imdbRating': '7.7', 'imdbVotes': '347,199', 'imdbID': 'tt0119008', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$41,909,762', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
4 Little Girls,https://www.rottentomatoes.com/m/4_little_girls,"Released Jul 9, 1997",100.0,89.0,1997.0,True,,tt0118540,TV-14,102,"Documentary, History","A documentary of the notorious racial terrorist1963 bombing by the Ku Klux Klan of the African American 16th Street Baptist Church in Birmingham during the Civil Rights Movement, which killed four young girls.",https://m.media-amazon.com/images/M/MV5BMTk0MjUwNjQyNV5BMl5BanBnXkFtZTcwMjExNzkxMQ@@._V1_SX300.jpg,"{'Title': '4 Little Girls', 'Year': '1997', 'Rated': 'TV-14', 'Released': '09 Jul 1997', 'Runtime': '102 min', 'Genre': 'Documentary, History', 'Director': 'Spike Lee', 'Writer': 'N/A', 'Actors': 'Maxine McNair, Walter Cronkite, Chris McNair', 'Plot': 'A documentary of the notorious racial terrorist1963 bombing by the Ku Klux Klan of the African American 16th Street Baptist Church in Birmingham during the Civil Rights Movement, which killed four young girls.', 'Language': 'English', 'Country': 'United States', 'Awards': 'Nominated for 1 Oscar. 9 wins & 11 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BMTk0MjUwNjQyNV5BMl5BanBnXkFtZTcwMjExNzkxMQ@@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '88/100'}], 'Metascore': '88', 'imdbRating': '7.8', 'imdbVotes': '3,676', 'imdbID': 'tt0118540', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$130,146', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
Saving Private Ryan,https://www.rottentomatoes.com/m/saving_private_ryan,"Released Jul 24, 1998",94.0,95.0,1998.0,True,,tt0120815,R,169,"Drama, War","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose comrades have been killed in action.",https://m.media-amazon.com/images/M/MV5BZGZhZGQ1ZWUtZTZjYS00MDJhLWFkYjctN2ZlYjE5NWYwZDM2XkEyXkFqcGc@._V1_SX300.jpg,"{'Title': 'Saving Private Ryan', 'Year': '1998', 'Rated': 'R', 'Released': '24 Jul 1998', 'Runtime': '169 min', 'Genre': 'Drama, War', 'Director': 'Steven Spielberg', 'Writer': 'Robert Rodat', 'Actors': 'Tom Hanks, Matt Damon, Tom Sizemore', 'Plot': 'Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose comrades have been killed in action.', 'Language': 'English, French, German, Czech', 'Country': 'United States', 'Awards': 'Won 5 Oscars. 79 wins & 75 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BZGZhZGQ1ZWUtZTZjYS00MDJhLWFkYjctN2ZlYjE5NWYwZDM2XkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '8.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '91/100'}], 'Metascore': '91', 'imdbRating': '8.6', 'imdbVotes': '1,589,732', 'imdbID': 'tt0120815', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$217,049,603', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
The Truman Show,https://www.rottentomatoes.com/m/truman_show,"Released Jun 5, 1998",94.0,89.0,1998.0,True,,tt0120382,PG,103,"Comedy, Drama",An insurance salesman begins to suspect that his whole life is actually some sort of reality TV show.,https://m.media-amazon.com/images/M/MV5BNzA3ZjZlNzYtMTdjMy00NjMzLTk5ZGYtMTkyYzNiOGM1YmM3XkEyXkFqcGc@._V1_SX300.jpg,"{'Title': 'The Truman Show', 'Year': '1998', 'Rated': 'PG', 'Released': '05 Jun 1998', 'Runtime': '103 min', 'Genre': 'Comedy, Drama', 'Director': 'Peter Weir', 'Writer': 'Andrew Niccol', 'Actors': 'Jim Carrey, Ed Harris, Laura Linney', 'Plot': 'An insurance salesman begins to suspect that his whole life is actually some sort of reality TV show.', 'Language': 'English', 'Country': 'United States', 'Awards': 'Nominated for 3 Oscars. 41 wins & 69 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BNzA3ZjZlNzYtMTdjMy00NjMzLTk5ZGYtMTkyYzNiOGM1YmM3XkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '90/100'}], 'Metascore': '90', 'imdbRating': '8.2', 'imdbVotes': '1,310,024', 'imdbID': 'tt0120382', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$125,618,201', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
Good Will Hunting,https://www.rottentomatoes.com/m/good_will_hunting,"Released Jan 9, 1998",97.0,94.0,1998.0,False,Movie not found!,,,,,,,"{'Response': 'False', 'Error': 'Movie not found!'}"
The Iron Giant,https://www.rottentomatoes.com/m/the_iron_giant,"Released Aug 4, 1999",96.0,90.0,1999.0,True,,tt0129167,PG,86,"Animation, Action, Adventure",A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,https://m.media-amazon.com/images/M/MV5BODM4ZjZjMGEtYmFiMy00MThjLWIzZjUtMDU0ODg1NTI2MzIwXkEyXkFqcGc@._V1_SX300.jpg,"{'Title': 'The Iron Giant', 'Year': '1999', 'Rated': 'PG', 'Released': '06 Aug 1999', 'Runtime': '86 min', 'Genre': 'Animation, Action, Adventure', 'Director': 'Brad Bird', 'Writer': 'Tim McCanlies, Brad Bird, Ted Hughes', 'Actors': 'Eli Marienthal, Harry Connick Jr., Jennifer Aniston', 'Plot': 'A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.', 'Language': 'English', 'Country': 'United States, Czech Republic, United Kingdom', 'Awards': 'Won 1 BAFTA Award20 wins & 18 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BODM4ZjZjMGEtYmFiMy00MThjLWIzZjUtMDU0ODg1NTI2MzIwXkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '85/100'}], 'Metascore': '85', 'imdbRating': '8.1', 'imdbVotes': '250,038', 'imdbID': 'tt0129167', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$23,315,035', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
The Insider,https://www.rottentomatoes.com/m/insider,"Released Nov 5, 1999",96.0,90.0,1999.0,True,,tt0140352,R,157,"Biography, Drama, History",A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco.,https://m.media-amazon.com/images/M/MV5BZGY3ZjEyODAtNjAwMC00ZTEwLTg3NDctYzMzYTZkMjBmZDQwXkEyXkFqcGc@._V1_SX300.jpg,"{'Title': 'The Insider', 'Year': '1999', 'Rated': 'R', 'Released': '05 Nov 1999', 'Runtime': '157 min', 'Genre': 'Biography, Drama, History', 'Director': 'Michael Mann', 'Writer': 'Marie Brenner, Eric Roth, Michael Mann', 'Actors': 'Russell Crowe, Al Pacino, Christopher Plummer', 'Plot': 'A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco.', 'Language': 'English, Japanese, Arabic, Persian', 'Country': 'United States', 'Awards': 'Nominated for 7 Oscars. 23 wins & 58 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BZGY3ZjEyODAtNjAwMC00ZTEwLTg3NDctYzMzYTZkMjBmZDQwXkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '85/100'}], 'Metascore': '85', 'imdbRating': '7.8', 'imdbVotes': '188,091', 'imdbID': 'tt0140352', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$29,089,912', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
American Movie,https://www.rottentomatoes.com/m/american_movie,"Released Nov 5, 1999",94.0,90.0,1999.0,True,,tt0181288,R,107,"Documentary, Comedy","Aspiring filmmaker Mark Borchardt attempts to finance his dream project by finally completing Coven (1997), a low-budget horror film he abandoned years before.",https://m.media-amazon.com/images/M/MV5BODc1MjQyZjMtNTkzNC00MGQyLWE0MTUtMThiNWQ0OTI0OTRjXkEyXkFqcGc@._V1_SX300.jpg,"{'Title': 'American Movie', 'Year': '1999', 'Rated': 'R', 'Released': '13 Apr 2000', 'Runtime': '107 min', 'Genre': 'Documentary, Comedy', 'Director': 'Chris Smith', 'Writer': 'N/A', 'Actors': 'Mark Borchardt, Mike Schank, Tom Schimmels', 'Plot': 'Aspiring filmmaker Mark Borchardt attempts to finance his dream project by finally completing Coven (1997), a low-budget horror film he abandoned years before.', 'Language': 'English', 'Country': 'United States', 'Awards': '6 wins & 6 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BODc1MjQyZjMtNTkzNC00MGQyLWE0MTUtMThiNWQ0OTI0OTRjXkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '84/100'}], 'Metascore': '84', 'imdbRating': '7.8', 'imdbVotes': '20,730', 'imdbID': 'tt0181288', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$1,165,795', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
The Straight Story,https://www.rottentomatoes.com/m/straight_story,"Released May 21, 1999",95.0,91.0,1999.0,True,,tt0166896,G,112,"Biography, Drama","Alvin Straight, a 73-year-old, learns that his estranged brother, Lyle is critically ill. Unable to drive, Alvin embarks on a journey from Iowa to Mt. Zion, by riding a lawn mower. Will he succeed?",https://m.media-amazon.com/images/M/MV5BZjdjNWZhY2UtMDRiYS00M2NhLThiZmQtYTA0MzI4ZWIyYzY4XkEyXkFqcGc@._V1_SX300.jpg,"{'Title': 'The Straight Story', 'Year': '1999', 'Rated': 'G', 'Released': '03 Nov 1999', 'Runtime': '112 min', 'Genre': 'Biography, Drama', 'Director': 'David Lynch', 'Writer': 'John Roach, Mary Sweeney', 'Actors': 'Richard Farnsworth, Sissy Spacek, Jane Galloway Heitz', 'Plot': 'Alvin Straight, a 73-year-old, learns that his estranged brother, Lyle is critically ill. Unable to drive, Alvin embarks on a journey from Iowa to Mt. Zion, by riding a lawn mower. Will he succeed?', 'Language': 'English', 'Country': 'United Kingdom, France, United States', 'Awards': 'Nominated for 1 Oscar. 19 wins & 40 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BZjdjNWZhY2UtMDRiYS00M2NhLThiZmQtYTA0MzI4ZWIyYzY4XkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '86/100'}], 'Metascore': '86', 'imdbRating': '8.0', 'imdbVotes': '103,218', 'imdbID': 'tt0166896', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$6,203,044', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
The Girl on the Bridge,https://www.rottentomatoes.com/m/girl_on_the_bridge,"Released Mar 31, 1999",88.0,91.0,1999.0,False,Movie not found!,,,,,,,"{'Response': 'False', 'Error': 'Movie not found!'}"
All About My Mother,https://www.rottentomatoes.com/m/all_about_my_mother,"Released Nov 24, 1999",98.0,93.0,1999.0,True,,tt0185125,R,101,"Comedy, Drama, Romance","A comedy-drama about a bereaved mother, an overwrought actress, her jealous lover, and a pregnant nun.",https://m.media-amazon.com/images/M/MV5BYzgyNWMzNDItZmJhZi00NzZmLTkyNmMtMjBiNjUyMmNkYjg4XkEyXkFqcGc@._V1_SX300.jpg,"{'Title': 'All About My Mother', 'Year': '1999', 'Rated': 'R', 'Released': '31 Mar 2000', 'Runtime': '101 min', 'Genre': 'Comedy, Drama, Romance', 'Director': 'Pedro Almodóvar', 'Writer': 'Pedro Almodóvar', 'Actors': 'Cecilia Roth, Marisa Paredes, Candela Peña', 'Plot': 'A comedy-drama about a bereaved mother, an overwrought actress, her jealous lover, and a pregnant nun.', 'Language': 'Spanish, Catalan', 'Country': 'Spain, France', 'Awards': 'Won 1 Oscar. 59 wins & 40 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BYzgyNWMzNDItZmJhZi00NzZmLTkyNmMtMjBiNjUyMmNkYjg4XkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '87/100'}], 'Metascore': '87', 'imdbRating': '7.8', 'imdbVotes': '107,503', 'imdbID': 'tt0185125', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$8,344,738', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
Rushmore,https://www.rottentomatoes.com/m/rushmore,"Released Feb 5, 1999",90.0,91.0,1999.0,False,Movie not found!,,,,,,,"{'Response': 'False', 'Error': 'Movie not found!'}"
Run Lola Run,https://www.rottentomatoes.com/m/run_lola_run,"Released Jun 18, 1999",93.0,90.0,1999.0,False,Movie not found!,,,,,,,"{'Response': 'False', 'Error': 'Movie not found!'}"
October Sky,https://www.rottentomatoes.com/m/october_sky,"Released Feb 19, 1999",91.0,88.0,1999.0,True,,tt0132477,PG,108,"Biography, Drama, Family","The true story of Homer Hickam, a coal miner's son who was inspired by the first Sputnik launch to take up rocketry against his father's wishes.",https://m.media-amazon.com/images/M/MV5BMDU0M2I3ODUtZDAyYy00NThhLWIwNjQtZGNmNTNjZDIxODM4XkEyXkFqcGc@._V1_SX300.jpg,"{'Title': 'October Sky', 'Year': '1999', 'Rated': 'PG', 'Released': '19 Feb 1999', 'Runtime': '108 min', 'Genre': 'Biography, Drama, Family', 'Director': 'Joe Johnston', 'Writer': 'Homer H. Hickam Jr., Lewis Colick', 'Actors': 'Jake Gyllenhaal, Chris Cooper, Laura Dern', 'Plot': ""The true story of Homer Hickam, a coal miner's son who was inspired by the first Sputnik launch to take up rocketry against his father's wishes."", 'Language': 'English', 'Country': 'United States', 'Awards': '4 wins & 11 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BMDU0M2I3ODUtZDAyYy00NThhLWIwNjQtZGNmNTNjZDIxODM4XkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '71/100'}], 'Metascore': '71', 'imdbRating': '7.8', 'imdbVotes': '101,687', 'imdbID': 'tt0132477', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$32,570,685', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
Memento,https://www.rottentomatoes.com/m/memento,"Released Sep 5, 2000",94.0,94.0,2000.0,True,,tt0209144,R,113,"Drama, Mystery, Thriller",A former insurance investigator who now suffers from anterograde amnesia uses notes and tattoos to hunt down his wife's murderer.,https://m.media-amazon.com/images/M/MV5BYmQ3MjliNjAtNWFiZS00YWI1LTlmZTktMzBiNDE1NjRhZjU0XkEyXkFqcGc@._V1_SX300.jpg,"{'Title': 'Memento', 'Year': '2000', 'Rated': 'R', 'Released': '25 May 2001', 'Runtime': '113 min', 'Genre': 'Drama, Mystery, Thriller', 'Director': 'Christopher Nolan', 'Writer': 'Christopher Nolan, Jonathan Nolan', 'Actors': 'Guy Pearce, Carrie-Anne Moss, Joe Pantoliano', 'Plot': ""A former insurance investigator who now suffers from anterograde amnesia uses notes and tattoos to hunt down his wife's murderer."", 'Language': 'English', 'Country': 'United States', 'Awards': 'Nominated for 2 Oscars. 57 wins & 59 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BYmQ3MjliNjAtNWFiZS00YWI1LTlmZTktMzBiNDE1NjRhZjU0XkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '8.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '83/100'}], 'Metascore': '83', 'imdbRating': '8.4', 'imdbVotes': '1,397,080', 'imdbID': 'tt0209144', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$25,544,867', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
Into the Arms of Strangers: Stories of the Kindertransport,https://www.rottentomatoes.com/m/into_the_arms_of_strangers_stories_of_the_kindertransport,"Released Sep 15, 2000",92.0,88.0,2000.0,True,,tt0248912,PG,122,"Documentary, History, War","The secret smuggling of 9,300 Jewish children out of Nazi Germany in the late 1930s.",https://m.media-amazon.com/images/M/MV5BNDljMjI3MGMtZWNmZi00ZWIwLWIzMDMtYjVhODg1Mzg1ZWQ3XkEyXkFqcGc@._V1_SX300.jpg,"{'Title': 'Into the Arms of Strangers: Stories of the Kindertransport', 'Year': '2000', 'Rated': 'PG', 'Released': '24 Nov 2000', 'Runtime': '122 min', 'Genre': 'Documentary, History, War', 'Director': 'Mark Jonathan Harris', 'Writer': 'Mark Jonathan Harris', 'Actors': 'Judi Dench, Lory Cahn, Kurt Fuchel', 'Plot': 'The secret smuggling of 9,300 Jewish children out of Nazi Germany in the late 1930s.', 'Language': 'English, German', 'Country': 'United Kingdom, United States', 'Awards': 'Won 1 Oscar. 7 wins & 6 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BNDljMjI3MGMtZWNmZi00ZWIwLWIzMDMtYjVhODg1Mzg1ZWQ3XkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '79/100'}], 'Metascore': '79', 'imdbRating': '7.7', 'imdbVotes': '1,988', 'imdbID': 'tt0248912', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$374,555', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
