rotten_tomatoes_link,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
m/1019544-spartacus,Spartacus,"The rebellious Thracian Spartacus, born and raised a slave, is sold to Gladiator trainer Batiatus. After weeks of being trained to kill for the arena, Spartacus turns on his owners and leads the other slaves in rebellion. As the rebels move from town to town, their numbers swell as escaped slaves join their ranks. Under the leadership of Spartacus, they make their way to southern Italy, where they will cross the sea and return to their homes.","Featuring terrific performances and epic action, Kubrick's restored swords-and-sandals epic is a true classic.",PG-13,"Action & Adventure, Classics, Drama",Stanley Kubrick,Dalton Trumbo,"Kirk Douglas, Laurence Olivier, Jean Simmons, Charles Laughton, Tony Curtis, Peter Ustinov, John Gavin, Nina Foch, Herbert Lom, John Ireland, John Dall, Charles McGraw, Joanna Barnes, Woody Strode, Harold J. Stone, Peter Brocco, Paul Lambert, Robert J. Wilke, Bob Wilke, Nick Dennis, John Hoyt, Frederic Worlock, Dayton Lummis, Lili Valenty, Jil Jarmyn, Jo Summers, Autumn Russell, Kay Stewart, Lynda Williams, Louise Vincent, James Griffith, Joe Haworth, Dale Van Sickel, Vinton Haworth, Carleton Young, Hallene Hill, Paul E. Burns, Leonard Penn, Harry Harvey Jr., Eddie Parker, Harold Goodwin, Chuck Roberson, Sol (Saul) Gorss, Jill Jarmyn, Charles Horvath, Gil Perkins, Dick Crockett, Harvey Parry, Rod Normond, Larry Perron, Regis Parton, Carey Loftin, Bob Morgan, Reg Parton, Tom Steele, Aaron Saxon, Wally Rose, Ken Terrell, Boyd 'Red' Morgan, Otto Malde, Robert E. Burns, Seamon Glass, George Robotham, Harold Kruger, Chuck Courtney, Russell Saunders, Valley Keene, Tap Canutt, Joe Canutt, Wayne Van Horn, Brad Harris, Jerry Brown, Chuck Hayward, Buff Brady, Cliff Lyons, Anthony Hopkins, Rube Schaffer, Ted de Corsia, Arthur Batanides, Bob Stevenson, Terence de Marney, Alex North",1960-10-07,2015-12-18,184.0,Universal Pictures,Certified-Fresh,93.0,61.0,Upright,87.0,78097.0,9,57,4
m/1019774-stagecoach,Stagecoach,"John Ford's landmark Western revolves around an assorted group of colorful passengers aboard the Overland stagecoach bound for Lordsburg, New Mexico, in the 1880s. An alcoholic philosophizer (Thomas Mitchell), a lady of ill repute (Claire Trevor) and a timid liquor salesman (Donald Meek) are among the motley crew of travelers who must contend with an escaped outlaw, the Ringo Kid (John Wayne), and the ever-present threat of an Apache attack as they make their way across the Wild West.","Typifying the best that the Western genre has to offer, Stagecoach is a rip-roaring adventure given dramatic heft by John Ford's dynamic direction and John Wayne's mesmerizing star turn.",NR,"Action & Adventure, Classics, Drama, Western",John Ford,"Ben Hecht, Dudley Nichols","John Wayne, Thomas Mitchell, Claire Trevor, John Carradine, Andy Devine, Donald Meek, Louise Platt, George Bancroft, Berton Churchill, Tim Holt, Tom Tyler, Chris-Pin Martin, Elvira Ríos, Francis Ford, Marga Ann Deighton, Cornelius Keefe, Kent Odell, Walter McGrail, Chief John Big Tree, Brenda Sue Fowler, Louis Mason, Florence Lake, Joe Rickson, Vester Pegg, Yakima Canutt, Harry Tenbrook, Paul McVey, Jack Pennick, William Hopper, Bryant Washburn, Nora Cecil, Helen Gibson, Dorothy Appleby, Buddy Roosevelt, Bill Cody, Duke R. Lee, Mary Kathleen Walker, Ed Brady, Robert E. Homans, Franklyn Farnum, Jim Mason, Merrill McCormack, Artie Ortego, Steve Clemente, Theodore Lorch, Fritzi Brunette, Leonard Trainor, Chris Phillips, Tex Driscoll, Patrick Wayne, Ted Billings, Al Lee, Hank Worden, John Eckert, Jack Mohr, Franklin Farnum, Patsy Doyle, Wiggie Blowne, Margaret Smith, Si Jenks, Many Mules",1939-03-02,2016-08-10,96.0,Warner Home Video,Certified-Fresh,100.0,45.0,Upright,86.0,14614.0,7,45,0
m/1020130-sting,The Sting,"Following the murder of a mutual friend, aspiring con man Johnny Hooker (Robert Redford) teams up with old pro Henry Gondorff (Paul Newman) to take revenge on the ruthless crime boss responsible, Doyle Lonnegan (Robert Shaw). Hooker and Gondorff set about implementing an elaborate scheme, one so crafty that Lonnegan won't even know he's been swindled. As their big con unfolds, however, things don't go according to plan, requiring some last-minute improvisation by the undaunted duo.","Paul Newman, Robert Redford, and director George Roy Hill prove that charm, humor, and a few slick twists can add up to a great film.",PG,"Classics, Comedy, Drama",George Roy Hill,"David S. Ward, Marvin Hamlisch","Paul Newman, Robert Redford, Robert Shaw, Charles Durning, Ray Walston, Eileen Brennan, Harold Gould, John Hefferman, Dana Elcar, Jack Kehoe, Dimitra Arliss, Robert Earl Jones, James J. Sloyan, Charles Dierkop, Sally Kirkland, John Quade, Paulene Myers, William 'Billy' Benedict, Avon Long, Arch Johnson, Lee Paul, Ed Bakey, Ken Sansom, Brad Sullivan, Larry D. Mann, Leonard Barr, Joe Tornatore, Jack Collins, Tom Spratley, Kenneth W. O'Brien, Ken Sanson, Ta-Tanisha, Scott Joplin",1973-12-01,2015-05-08,129.0,Universal Pictures,Certified-Fresh,94.0,63.0,Upright,95.0,61731.0,10,59,4
m/1020333-streetcar_named_desire,A Streetcar Named Desire,"Based on the play by Tennessee Williams, this renowned drama follows troubled former schoolteacher Blanche DuBois (Vivien Leigh) as she leaves small-town Mississippi and moves in with her sister, Stella Kowalski (Kim Hunter), and her husband, Stanley (Marlon Brando), in New Orleans. Blanche's flirtatious Southern-belle presence causes problems for Stella and Stanley, who already have a volatile relationship, leading to even greater conflict in the Kowalski household.","A feverish rendition of a heart-rending story, A Streetcar Named Desire gives Tennessee Williams' stage play explosive power on the screen thanks to Elia Kazan's searing direction and a sterling ensemble at the peak of their craft.",PG,"Classics, Drama",Elia Kazan,"Tennessee Williams, Oscar Saul","Marlon Brando, Vivien Leigh, Karl Malden, Kim Hunter, Rudy Bond, Nick Dennis, Peg Hillias, Wright King, Richard Garrick, Ann Dere, Edna Thomas, Mickey Kuhn, Chester Jones, Marietta Canty, Lyle Latell, Charles Wagenheim, Maxie Thrower, Mel Archer",1951-09-19,2013-10-02,122.0,Warner Bros. Pictures,Certified-Fresh,98.0,60.0,Upright,90.0,55148.0,13,59,1
m/1020729-swing_time,Swing Time,"Dexterous and risk-taking Lucky Garnett (Fred Astaire) pursues dancing and gambling with equal verve. Engaged to the pretty Margaret Watson (Betty Furness), Lucky gets pre-wedding nerves, which leads to the ceremony being called off. Margaret's father decides that Lucky can have a second chance at marrying her if he can make $25,000, so he heads to New York City to seek his fortune. When Lucky meets the beautiful dance teacher Penny Carroll (Ginger Rogers), however, his priorities soon change.","Ginger Rogers and Fred Astaire are brilliant in Swing Time, one of the duo's most charming and wonderfully choreographed films.",NR,"Classics, Musical & Performing Arts, Romance",George Stevens,"Allan Scott, Howard Lindsay","Fred Astaire, Ginger Rogers, Victor Moore, Helen Broderick, Eric Blore, Betty Furness, George Metaxa, Landers Stevens, John Harrington, Pierre Watkin, Abe Reynolds, Gerald Hamer, Edgar Dearing, Harry Bowen, Harry Bernard, Donald Kerr, Jack Good, Ted O'Shea, Frank Edmunds, Bill Brand, Frank Jenks, Ralph Byrd, Charles D. Hall, Jean Perry, Olin Francis, Floyd Shackelford, Floyd Schackleford, Joey Ray, Jack Rice, Howard Hickman, Ralph Brooks, Ferdinand Munier, Fern Emmett, Bess Flowers, Frank Mills, Dale Van Sickel, Blanca Vischer, Ferdinand Minuer, Sailor Vincent, Baby Marie Osborne, Dennis O'Keefe",1936-09-04,2008-08-18,105.0,RKO Radio Pictures Inc.,Fresh,97.0,29.0,Upright,87.0,7395.0,5,28,1
m/1021015-ten_commandments,The Ten Commandments,"Enjoying a life of ease in the court of Egypt's pharaoh, Moses (Charlton Heston) discovers his Hebrew heritage and, later, God's expectations of him. He dedicates himself to liberating his people from captivity and -- with the aid of plagues and divine intervention -- manages to lead them out of Egypt and across the Red Sea. A greater challenge comes in the form of the golden calf idol, however, and it takes an unforgettable visitation by God on Mount Sinai for Moses' mission to prevail.","Bombastic and occasionally silly but extravagantly entertaining, Cecil B. DeMille's all-star spectacular is a muscular retelling of the great Bible story.",G,"Classics, Drama, Faith & Spirituality",Cecil B. DeMille,"Jesse L. Lasky, Aeneas MacKenzie, Fredric M. Frank, Jack Gariss, Jesse Lasky Jr.","Charlton Heston, Yul Brynner, Anne Baxter, Edward G. Robinson, Yvonne De Carlo, Debra Paget, John Derek, Cedric Hardwicke, Nina Foch, Martha Scott, Judith Anderson, Vincent Price, Olive Deering, John Carradine, Eduard Franz, Donald Curtis, Douglass Dumbrille, Lawrence Dobkin, Frank de Kova, H.B. Warner, Henry Wilcoxon, Julia Faye, Lisa Mitchell, Noelle Williams, Joanna Merlin, Pat Richard, Joyce Vanderveen, Diane Hall, Abbas El Boughdadly, Fraser C. Heston, Eugene Mazzola, John Miljan, Ramsay Hill, Tommy Duran, Francis McDonald, Ian Keith, Joan Woodbury, Ramsey Hill, Woody Strode, Dorothy Adams, Eric Alden, Henry Brandon, Mike Connors, Henry Corden, Edna Mae Cooper, Abbas El Bougbdadly, Kem Dibbs, Fred Kohler Jr., Gail Kobe, John Merton, Mena Mohamed, Addison Richards, Onslow Stevens, Clint Walker, Frank Wilcox, Luis Alberni, Michael Ansara, Fred Coby, Tony Dante, Frankie Darro, Edward Earle, Olive Carey, Franklyn Farnum, John Hart, Ed Hinton, Walter Woolf King, Frank Lackteen, Emmett Lynn, Stanley Price, Bob Carson, Herb Alpert, E.J. Andre, Esther Brown, Robert Clarke, Mary Benoit, Paul De Rolf, Zeev Bufman, Kathy Garver, Maude Fealy, George Melford, Mimi Gibson, Nancy Hale, Jeane Wood, Lillian Albertson, Richard Kean, Joel Ashley, George Baxter, Robert Bice, Kenneth MacDonald, Peter Coe, Peter Mamakos, Steve Darrell, Irene Martin, Matty Fain, Paula Morgan, John Parrish, Anthony George, Rodd Redwing, Gavin Gordon, Kay Hammond, Peter Hanson, Adeline de Walt Reynolds, Irene Tedrow, Barry Macollum, Baynes Barron, Ken Dibbs, Carl ""Alfalfa"" Switzer, Keith Richards (II), James Coburn, Moe DiSesso, Franklin Farnum, Eugenia Strauss, Lisa Lee Mitchell, Robert Vaughn, Michael Connors, Steven Darrell, Robert Carson, Cecil B. DeMille, Keith Richards (I)",1956-10-05,2016-11-24,220.0,Paramount Pictures,Fresh,89.0,37.0,Upright,87.0,60242.0,6,33,4
m/1021244-thing,The Thing,"In remote Antarctica, a group of American research scientists are disturbed at their base camp by a helicopter shooting at a sled dog. When they take in the dog, it brutally attacks both human beings and canines in the camp and they discover that the beast can assume the shape of its victims. A resourceful helicopter pilot (Kurt Russell) and the camp doctor (Richard Dysart) lead the camp crew in a desperate, gory battle against the vicious creature before it picks them all off, one by one.","Grimmer and more terrifying than the 1950s take, John Carpenter's The Thing is a tense sci-fi thriller rife with compelling tension and some remarkable make-up effects.",R,"Horror, Science Fiction & Fantasy",John Carpenter,"Bill Lancaster, Bill Lancaster, John Carpenter, Burt Lancaster, Mick Garris","Kurt Russell, Wilford Brimley, T.K. Carter, David Clennon, Keith David, Richard Dysart, Charles Hallahan, Peter Maloney, Richard Masur, Donald Moffat, Joel Polis, Norbert Weisser, Larry Franco, Nate Irwin, Tony Cecere, Kent Hays, William Zeman, Larry Holt, Melvin Jones, Eric Mansker, Clint Rowe, Thomas G. Waites, Rock Walker, Jerry Wills",1982-07-01,2012-06-15,108.0,Universal Pictures,Certified-Fresh,85.0,66.0,Upright,92.0,132195.0,9,56,10
m/1021749-touch_of_evil,Touch of Evil,"When a car bomb explodes on the American side of the U.S./Mexico border, Mexican drug enforcement agent Miguel Vargas (Charlton Heston) begins his investigation, along with American police captain Hank Quinlan (Orson Welles). When Vargas begins to suspect that Quinlan and his shady partner, Menzies (Joseph Calleia), are planting evidence to frame an innocent man, his investigations into their possible corruption quickly put himself and his new bride, Susie (Janet Leigh), in jeopardy.","Artistically innovative and emotionally gripping, Orson Welles' classic noir is a visual treat, as well as a dark, sinister thriller.",PG-13,"Classics, Drama, Mystery & Suspense",Orson Welles,Orson Welles,"Orson Welles, Charlton Heston, Janet Leigh, Marlene Dietrich, Joseph Calleia, Akim Tamiroff, Val DeVargas, Ray Collins, Valentin de Vargas, Dennis Weaver, Joanna Cook Moore, Mort Mills, Victor Millan, Lalo Rios, Michael Sargent, Mercedes McCambridge, Joseph Cotten, Zsa Zsa Gabor, Phil Harvey, Joi Lansing, Ken Miller, Harry Shannon, Rusty Wescoatt, Taylor Wayne, Kenny Miller, Raymond Rodriguez, Arlene McQuade, Dominick DelGarde, Joe Basulto, Jennie Dias, Yolanda Bojorquez, Eleanor Dorado, Keenan Wynn",1958-05-21,2014-03-18,95.0,October Films,Certified-Fresh,95.0,78.0,Upright,92.0,31216.0,23,74,4
m/1022172-twelve_oclock_high,Twelve O'Clock High,"In 1942, an American Air Force unit stationed in England is plagued with morale problems until no-nonsense Brigadier General Frank Savage (Gregory Peck) assumes command. His tough leadership is initially resented by not only his pilots but his second-in-command (Hugh Marlowe), a West Point graduate and son of a general. But, with the help of a hotshot flying ace (Robert Patten) and a sympathetic administrator (Dean Jagger), the unit pulls together into a gung-ho fighting crew.","Twelve O'Clock High is a high-stakes, high-tension war drama powered by great, well-written characters.",NR,"Action & Adventure, Classics, Drama",Henry King,"Beirne Lay, Lt. Beirne Lay Jr., Sy Bartlett","Gregory Peck, Hugh Marlowe, Dean Jagger, Gary Merrill, Millard Mitchell, Robert Arthur, Paul Stewart, John Kellogg, Robert Patten, Lee MacGregor, Sam Edwards, Roger Anderson, John Zilly, William Short, Richard Anderson, Lawrence Dobkin, Kenneth Tobey, Campbell Copelin, Don Guadagno, Peter Ortiz, Steve Clark, Joyce Mackenzie, Patrick Whyte, Don Hicks, Ray Hyke, Harry Lauter, John R. McKee, Leslie Denison, Russ Conway",1949-01-01,2017-03-13,132.0,Twentieth Century Fox Home Entertainment,Fresh,96.0,25.0,Upright,87.0,6019.0,5,24,1
m/1022369-unfaithfully_yours,Unfaithfully Yours,"Before he left for a brief European visit, symphony conductor Sir Alfred De Carter (Rex Harrison) casually asked his staid brother-in-law August (Rudy Vallee) to look out for his young wife, Daphne (Linda Darnell), during his absence. August has hired a private detective (Edgar Kennedy) to keep tabs on her. But when the private eye's report suggests Daphne might have been canoodling with his secretary (Kurt Kreuger), Sir Alfred begins to imagine how he might take his revenge.",,NR,"Classics, Comedy, Musical & Performing Arts, Romance",Preston Sturges,Preston Sturges,"Rex Harrison, Linda Darnell, Barbara Lawrence, Rudy Vallee, Kurt Kreuger, Lionel Stander, Edgar Kennedy, Alan Bridge, Al Bridge, Julius Tannen, Torben Meyer, Robert Greig, Evelyn Beresford, Georgia Caine, Harry Seymour, Isabel Jewell, Marion Marshall, Sam Harris, Douglas Gerrard, Dave Morris, Franz Roehn, George Mathews, Charles Tannen, Harry Carter, Pati Behrs, J. Farrell MacDonald, George Melford, Bill Cartledge, André de Beranger, Tamara Schee, Ruth Clifford, Frank Moran, Laurette Luez",1948-12-10,2012-09-18,105.0,Fox,Fresh,93.0,15.0,Upright,87.0,2317.0,4,14,1
m/1023205-warriors,The Warriors,A turf battle between New York City street gangs that rages from Coney Island to the Bronx. The Warriors are mistakenly fingered for the killing of a gang leader. Soon they have every gang in the city out to get revenge and they must make their way across the city to their own turf.,"As violent as it is stylish, The Warriors is a thrilling piece of pulp filmmaking.",R,"Action & Adventure, Cult Movies, Drama",Walter Hill,"David Shaber, Walter Hill","Michael Beck, James Remar, Thomas G. Waites, Dorsey Wright, Brian Taylor, David Harris, Brian Tyler, Tom McKitterick, Marcelino Sánchez, Terry Michos, Deborah Van Valkenburgh, Roger Hill, David Patrick Kelly, Lynne Thigpen, Billy Anagnos, Ginny Ortiz, Mercedes Ruehl, Edward Sewer, Ron Ferrell, Fernando del Castillo, Hubert J. Edwards, Larry Sears, Mike James, Gregory Cleghorne, George Lee Miles, Stanley Timms, John Snyder, John Maurice Sullivan, Jaime Perry, Jeff Scott, Winston Yarde, Joel Weiss, Dan Bonnell, Dan Battles, Harold Miller, Tom Jarus, Michael Garfield, Chris Harley, Mark Baltzar, J.W. Smith, Cal St. John, Joe Zimmardi, Carrotte, André Engel, William Williams, Rob Ryder, Marvin Foster, Steve Chambers, Johnny Barnes, Ken Thret, Jeffrey Michael, Paul Greco, Apache Ramos, Tony Pann, Neal Gold, James Margolin, Chuck Mason, Andy Engels, Irwin Keyes, Larry Silvestri, Ian Cohen, Charles Serrano, Sonny Landham, Charles Doolan, Frank Ferrara, Vic Magnotta, Jery Hewitt, Don Ritchie, Bob Ryder, Joseph Bergman, Richard Ciotti, Tony Latham, Eugene Bicknell, T.J. McNamara, Steve James, Lane Ruoff, Harry Madsen, Bill Anagnos, John Gibson, Lisa Maurer, Kate Klugman, Dee Dee Benrey, Jordan Cae Harrell, Donna Ritchie, Doran Clark, Patty Brown, Iris Alahanti, Victoria Vanderkloot, Laura Delano, Suki Rothchild, Heidi Lynch, Craig R. Baxley, A.J. Bajunas, Gary Baxley, Konrad Sheehan, Eddie Earl Hatch, Tom Huff, Leon Delaney",1979-02-09,2013-08-01,90.0,Paramount Pictures,Fresh,90.0,39.0,Upright,88.0,76128.0,4,35,4
m/1023739-winchester_73,Winchester '73,"Lin McAdam (James Stewart) pursues notorious outlaw Henry ""Dutch"" Brown (Millard Mitchell) into Dodge City, Kansas. There, in an effort to flush out the criminal, McAdam enters a sharp-shooting contest and wins the top prize: the eponymous Winchester rifle. Brown, desiring the rifle for himself, sneaks into McAdam's room and makes off with it. After finding the rifle missing, McAdam chases Brown across the state and toward an epic confrontation.",,NR,"Classics, Western",Anthony Mann,"Robert L. Richards, Borden Chase","James Stewart, Dan Duryea, Shelley Winters, Stephen McNally, Millard Mitchell, Charles Drake, John McIntire, Will Geer, Jay C. Flippen, Rock Hudson, John Alexander, Steve Brodie, James Millican, Abner Biberman, Tony Curtis, James Best, Gregg Martell, Frank Chase, Chuck Roberson, Carol Henry, Ray Teal, Virginia Mullen, John Doucette, Steve Darrell, Chief Yowlachie, Frank Conlan, Ray Bennett, Guy Wilkerson, Robert Anderson, Larry Olsen, Edmund Cobb, Forrest Taylor, Ethan Laidlaw, Bud Osborne, Bonnie Kay Eddy, Jennings Miles, John War Eagle, Duke Yorke, Ted Mapes, Norman Kent, Norman Olestad, Tony Taylor, Tim Hawkins, Mel Archer, Bill McKenzie",1950-07-12,2014-03-18,92.0,Universal Pictures,Fresh,100.0,27.0,Upright,86.0,5453.0,6,27,0
m/1023906-women,The Women,"Mary Haines (Norma Shearer) can't believe her husband's having an affair with salesgirl Crystal (Joan Crawford). But when Sylvia (Rosalind Russell) and Edith (Phyllis Povah) deliver the gossip firsthand, Mary heads to Reno for a divorce. En route she meets Countess de Lave (Mary Boland) and Miriam (Paulette Goddard), who coincidentally is having an affair with Sylvia's husband. Once in Reno, the Countess finds another beau, Sylvia shows up for a divorce and Mary plots to win back her man.",,NR,"Classics, Comedy, Drama",George Cukor,"Anita Loos, Jane Murfin","Norma Shearer, Joan Crawford, Rosalind Russell, Joan Fontaine, Mary Boland, Paulette Goddard, Lucile Watson, Phyllis Povah, Florence Nash, Virginia Weidler, Ruth Hussey, Muriel Hutchison, Margaret Dumont, Dennis Moore, Mary Cecil, Marjorie Main, Esther Dale, Hedda Hopper, Mildred Shay, Priscilla Lawson, Estelle Etterre, Ann Morriss, Mary Beth Hughes, Marjorie Wood, Virginia Grey, Cora Witherspoon, Veda Buckland, Charlotte Treadway, Theresa Harris, Virginia Howell, Barbara Jo Allen, May Beatty, May Hale, Ruth Findlay, Charlotte Wynters, May Boley, Aileen Pringle, Florence Shirley, Judith Allen, Florence O'Brien, Hilda Plowright, Mariska Aldrich, Leila McIntyre, Dot Farley, Flora Finch, Dorothy Sebastian, Renie Riano, Grace Goodall, Lilian Bond, Winifred Harris, Carolyn Hughes, Gertrude Astor, Nell Craig, Grace Hayle, Maude Allen, Butterfly McQueen, Natalie Moorhead, Jo Ann Sayers, Carole Lee Kilby, Lita Chevret, Dora Clement, Ruth Alder, Marie Blake, Dorothy Adams, Carol Hughes, Peggy Shannon, Josephine Whittell, Rita Gould, Dennie Moore, Gertrude Simpson, Betty Blythe, Lillian Bond",1939-01-01,2009-04-01,132.0,MGM,Fresh,92.0,25.0,Upright,88.0,6626.0,8,23,2
m/1024192-wuthering_heights,Wuthering Heights,"In this adaptation of the classic Emily Bronte novel set in 19th-century England, wealthy young Cathy Earnshaw (Merle Oberon) shares a loving bond with Heathcliff (Laurence Olivier), a poor childhood friend who now works in her stables. Unfortunately, things become complicated when the affluent Edgar Linton (David Niven) decides to pursue Cathy, and Heathcliff leaves out of resentment. Though Heathcliff returns with a self-made fortune, he realizes he may have lost Cathy in his absence.","Sumptuous design and perfect casting makes Wuthering Heights an exemplar of old Hollywood studio filmmaking, even if to a fault.",G,"Classics, Drama, Romance",William Wyler,"Ben Hecht, Charles MacArthur","Merle Oberon, Laurence Olivier, David Niven, Geraldine Fitzgerald, Donald Crisp, Flora Robson, Hugh Williams, Leo G Carroll, Cecil Humphreys, Miles Mander, Sarita Wooten, Rex Downing, Douglas Scott, Cecil Kellaway, Romaine Callender, Helena Grant, Mme. Alice Ehlers, Susanne Leach, Tommy Martin, Schuyler Standish, William Stelling, Harold Entwistle, Mme. Alice Ahlers, Vernon P. Downing, Frank Benson, Eric Wilton, Sam Harris",1939-04-13,2016-02-01,103.0,United Artists,Fresh,96.0,23.0,Upright,85.0,8786.0,1,22,1
m/1028711-mystery_train,Mystery Train,"A seedy hotel in Memphis, Tennessee, provides the backdrop for three separate tales, featuring everything from a kitsch-obsessed Japanese couple (Masatoshi Nagase, Youki Kudoh) to a trio of amateur robbers (Joe Strummer, Rick Aviles, Steve Buscemi) who discover the true nature of their relationship during a botched heist. Linking the stories together is the hotel's eccentric and creepy night clerk (Screamin' Jay Hawkins) as well as the spirit of Elvis Presley.","Mystery Train meanders by design, but it never goes off the rails, retaining its deadpan cool throughout.",R,"Art House & International, Comedy, Drama",Jim Jarmusch,Jim Jarmusch,"Masatoshi Nagase, Youki Kudoh, Nicoletta Braschi, Elizabeth Bracco, Rufus Thomas, Joe Strummer, Steve Buscemi, Rick Aviles, Screamin' Jay Hawkins, Cinqué Lee, Stephen Jones, Sy Richardson, Tom Noonan, Vondie Curtis-Hall, Tom Waits, Joshua Elvis Hoch, Jodie Markell, William Hoch, Pat Hoch, Reginald Freeman, Beverly Prye, Lowell Roberts, Sara Driver, Richard Boes, Darryl Daniel, Calvin Brown Jr., Jim Stark, Elan Yaari, Royale Johnson, Winston Hoffman, Marvell Thomas, Charles Ponder, D'Army Bailey, Karen Longwell, Rockets Redglare",1989-11-17,2017-05-22,113.0,Orion Home Video,Fresh,89.0,35.0,Upright,87.0,10579.0,6,31,4
m/1029042-henry_v,Henry V,"In this gritty screen adaptation of Shakespeare's play about the heroic and ruthless king, Henry V of England (Kenneth Branagh) determines to lay claim to the kingdom of France. Henry's self-doubt and the diminished morale of his army stand in the way of a victory that would unite the two countries and provide Henry with a queen (Emma Thompson). However, his sheer determination and his impassioned speeches ready his men for the bloodiest of battles -- Agincourt.","Pehaps Kenneth Branagh's most fully realized Shakespeare adaptation, Henry V is an energetic, passionate, and wonderfully acted film.",PG-13,"Action & Adventure, Drama, Romance",Kenneth Branagh,Kenneth Branagh,"Kenneth Branagh, Derek Jacobi, Brian Blessed, Ian Holm, Simon Shepherd, James Larkin, James Simmons, Paul Gregory, Charles Kay, Alec McCowen, Fabian Cartwright, Stephen Simms, Jay Villiers, Edward Jewesbury, Danny Webb, Jimmy Yuill, John Sessions, Shaun Prendergast, Pat Doyle, Michael Anthony Williams, Richard Briers, Geoffrey Hutchings, Robert Stephens, Robbie Coltrane, Christian Bale, Judi Dench, Paul Scofield, Michael Maloney, Richard Innocent, Richard Clifford, Colin Hurley, Patrick Doyle, Richard Easton, Christopher Ravenscroft, Emma Thompson, Geraldine McEwan, David Lloyd Meredith, David Parfitt, Nicholas Ferguson, Tom Whitehouse, Nigel Greaves, Julian Gartside, Calum Yuill, Mark Inman, Chris Armstrong, Simon Rattle",1989-11-08,2017-05-01,137.0,MGM Home Entertainment,Certified-Fresh,100.0,40.0,Upright,89.0,13465.0,11,40,0
m/1031274-faust,Faust,"In this classic of silent cinema, the demon Mephisto (Emil Jannings) makes a bet with an archangel that a good man's soul can be corrupted. Mephisto sets his sights on the thoughtful old alchemist Faust (Gösta Ekman), who is desperately trying to save his village from a plague. He is able to help the villagers, thanks to Mephisto, but further dealings with the devil lead Faust on a decadent downward spiral. Can he redeem his soul before it's too late?",,NR,"Art House & International, Horror, Science Fiction & Fantasy",F.W. Murnau,"Johann Wolfgang von Goethe, Hans Kyser, Christopher Marlowe, Hans Kyser","Emil Jannings, Gösta Ekman, Jr., Camilla Horn, Frida Richard, Frieda Richard, Yvette Guilbert, William Dieterle, Eric Barcley, Eric Barclay, Hanna Ralph, Werner Fuetterer, Hans Brausewetter, Lothar Müthel, Hans Rameau, Hertha von Walther, Emmy Wyda",1926-12-05,2017-05-22,117.0,MGM,Fresh,94.0,31.0,Upright,91.0,5580.0,10,29,2
m/1031440-long_goodbye,The Long Goodbye,"Private detective Philip Marlowe (Elliott Gould) is asked by his old buddy Terry Lennox (Jim Bouton) for a ride to Mexico. He obliges, and when he gets back to Los Angeles is questioned by police about the death of Terry's wife. Marlowe remains a suspect until it's reported that Terry has committed suicide in Mexico. Marlowe doesn't buy it but takes a new case from a beautiful blond, Eileen Wade (Nina van Pallandt), who coincidentally has a past with Terry.","An ice-cold noir that retains Robert Altman's idiosyncratic sensibilities, The Long Goodbye ranks among the smartest and most satisfying Marlowe mysteries.",R,"Classics, Drama, Mystery & Suspense",Robert Altman,Leigh Brackett,"Elliott Gould, Nina Van Pallandt, Sterling Hayden, Mark Rydell, Henry Gibson, Jim Bouton, David Arkin, David Carradine, Warren Berlinger, Eddie Constantine, Jo Ann Brody, Dave King, Helen Mirren, Sybil Scotford, Steve Coit, Jack Knight, Pepe Callahan, Vincent Palmieri, Pancho Cordoba, Enrique Lucero, Rutanya Alda, Jack Riley, Ken Sansom, Jerry Jones, John S. Davies, Herb Kerns, Danny Goldman, Arnold Schwarzenegger, Leslie Simms",1973-03-07,2017-04-18,112.0,United Artists,Certified-Fresh,93.0,45.0,Upright,88.0,10294.0,9,42,3
